detector;screenshot_path;temp;artifact_visible;artifact_goal;artifacttype_retrieved;features_extracted;matching_finished;total;found;match_count;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-2-2.png;exe_updater_java-2-2.png;exe_updater_java;01_Jibberish-Mittel;316,0681;297,2601;181,4613;794,7895;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-2-3.png;exe_updater_java-2-3.png;exe_updater_java;01_Jibberish-Mittel;190,5981;403,8835;115,7536;710,2352;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-2-4.png;exe_updater_java-2-4.png;exe_updater_java;01_Jibberish-Mittel;199,5336;318,3134;209,3665;727,2135;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-2-5.png;exe_updater_java-2-5.png;exe_updater_java;01_Jibberish-Mittel;204,0874;207,5132;203,2295;614,8301;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-2-6.png;exe_updater_java-2-6.png;exe_updater_java;01_Jibberish-Mittel;131,7647;490,6981;118,0356;740,4984;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-2-7.png;exe_updater_java-2-7.png;exe_updater_java;01_Jibberish-Mittel;123,3633;283,1334;213,0322;619,5289;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-2-8.png;exe_updater_java-2-8.png;exe_updater_java;01_Jibberish-Mittel;222,9219;304,0112;187,4842;714,4173;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-3-1.png;exe_updater_java-3-1.png;exe_updater_java;01_Jibberish-Mittel;129,0004;300,7731;186,0735;615,847;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-3-2.png;exe_updater_java-3-2.png;exe_updater_java;01_Jibberish-Mittel;198,0866;329,9751;193,9637;722,0254;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-3-3.png;exe_updater_java-3-3.png;exe_updater_java;01_Jibberish-Mittel;200,7616;399,5089;218,6224;818,8929;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-3-4.png;exe_updater_java-3-4.png;exe_updater_java;01_Jibberish-Mittel;308,2226;319,9271;191,8616;820,0113;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-3-5.png;exe_updater_java-3-5.png;exe_updater_java;01_Jibberish-Mittel;195,1684;518,2862;187,4727;900,9273;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-3-6.png;exe_updater_java-3-6.png;exe_updater_java;01_Jibberish-Mittel;190,2848;407,0452;123,2329;720,5629;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-3-7.png;exe_updater_java-3-7.png;exe_updater_java;01_Jibberish-Mittel;126,3156;390,0452;217,5804;733,9412;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-3-8.png;exe_updater_java-3-8.png;exe_updater_java;01_Jibberish-Mittel;311,5752;383,1861;126,657;821,4183;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-4-1.png;exe_updater_java-4-1.png;exe_updater_java;01_Jibberish-Mittel;137,2274;385,7743;124,9844;647,9861;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-4-2.png;exe_updater_java-4-2.png;exe_updater_java;01_Jibberish-Mittel;128,9975;395,1186;289,5983;813,7144;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-4-3.png;exe_updater_java-4-3.png;exe_updater_java;01_Jibberish-Mittel;138,1934;313,9184;223,6715;675,7833;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-4-4.png;exe_updater_java-4-4.png;exe_updater_java;01_Jibberish-Mittel;302,5695;225,0875;197,922;725,579;False;0;False
