detector;screenshot_path;artifact_goal;artifacttype_retrieved;features_extracted;matching_finished;total;found;match_count
orb;\\VBOXSVR\evaluation_screenshots\03_Targo_Bank-Schwer-1-3.png;01_Jibberish-Mittel;197,7389;113,7693;201,9895;513,4977;False;0
orb;\\VBOXSVR\evaluation_screenshots\03_Targo_Bank-Schwer-2-1.png;01_Jibberish-Mittel;320,6164;188,3934;207,8076;716,8174;False;0
orb;\\VBOXSVR\evaluation_screenshots\03_Targo_Bank-Schwer-2-2.png;01_Jibberish-Mittel;192,7335;309,0002;189,0678;690,8015;False;0
orb;\\VBOXSVR\evaluation_screenshots\03_Targo_Bank-Schwer-2-3.png;01_Jibberish-Mittel;220,5421;114,7234;178,4958;513,7613;False;0
orb;\\VBOXSVR\evaluation_screenshots\03_Targo_Bank-Schwer-3-1.png;01_Jibberish-Mittel;196,4853;330,1242;114,1455;640,755;False;0
orb;\\VBOXSVR\evaluation_screenshots\03_Targo_Bank-Schwer-3-2.png;01_Jibberish-Mittel;193,2832;210,6996;197,9358;601,9186;False;0
orb;\\VBOXSVR\evaluation_screenshots\03_Targo_Bank-Schwer-3-3.png;01_Jibberish-Mittel;215,1414;306,6194;188,04;709,8008;False;0
orb;\\VBOXSVR\evaluation_screenshots\03_Targo_Bank-Schwer-4-1.png;01_Jibberish-Mittel;132,8469;381,3288;120,0658;634,2415;False;0
orb;\\VBOXSVR\evaluation_screenshots\03_Targo_Bank-Schwer-4-2.png;01_Jibberish-Mittel;198,3311;193,6843;123,0383;515,0537;False;0
orb;\\VBOXSVR\evaluation_screenshots\03_Targo_Bank-Schwer-4-3.png;01_Jibberish-Mittel;212,2568;298,1327;183,5503;693,9398;False;0
orb;\\VBOXSVR\evaluation_screenshots\03_Targo_Bank-Schwer-5-1.png;01_Jibberish-Mittel;131,5204;206,9743;228,0981;566,5928;False;0
orb;\\VBOXSVR\evaluation_screenshots\03_Targo_Bank-Schwer-5-2.png;01_Jibberish-Mittel;238,92;194,5698;122,4115;555,9013;False;0
orb;\\VBOXSVR\evaluation_screenshots\03_Targo_Bank-Schwer-5-3.png;01_Jibberish-Mittel;201,9509;118,7141;283,9528;604,6178;False;0
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Einfach-1-1.png;01_Jibberish-Mittel;388,4472;102,5505;128,1798;619,1775;False;0
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Einfach-1-2.png;01_Jibberish-Mittel;195,4636;106,9092;281,6282;584,001;False;0
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Einfach-2-1.png;01_Jibberish-Mittel;305,6821;227,4011;174,2699;707,3531;False;0
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Einfach-2-2.png;01_Jibberish-Mittel;125,9989;384,8824;127,1836;638,0649;False;0
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Einfach-3-1.png;01_Jibberish-Mittel;199,6251;224,2282;227,7262;651,5795;False;0
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Einfach-3-2.png;01_Jibberish-Mittel;222,5041;293,0905;111,1394;626,734;False;0
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Einfach-4-1.png;01_Jibberish-Mittel;195,5106;305,8625;204,245;705,6181;False;0
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Einfach-4-2.png;01_Jibberish-Mittel;306,599;282,4361;123,3737;712,4088;False;0
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Einfach-5-1.png;01_Jibberish-Mittel;191,2459;235,558;120,8744;547,6783;False;0
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Einfach-5-2.png;01_Jibberish-Mittel;202,956;116,2451;189,6996;508,9007;False;0
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Schwer-1-1.png;01_Jibberish-Mittel;120,4779;113,2848;207,1943;440,957;False;0
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Schwer-1-2.png;01_Jibberish-Mittel;231,0238;108,1367;179,5635;518,724;False;0
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Schwer-2-1.png;01_Jibberish-Mittel;190,1867;136,5127;217,52;544,2194;False;0
orb;\\VBOXSVR\evaluation_screenshots\04_Targeted_IT_Abteilung-Schwer-2-2.png;01_Jibberish-Mittel;227,8949;211,6847;112,1082;551,6878;False;0
