detector;screenshot_path;temp;artifact_visible;artifact_goal;artifacttype_retrieved;features_extracted;matching_finished;total;found;match_count;goal
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-5-1.png;exe_login_window-5-1.png;exe_login_window;01_Jibberish-Mittel;206,0152;217,7449;184,5452;608,3053;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-5-2.png;exe_login_window-5-2.png;exe_login_window;01_Jibberish-Mittel;209,7963;308,8975;126,7904;645,4842;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-5-3.png;exe_login_window-5-3.png;exe_login_window;01_Jibberish-Mittel;199,2651;306,704;205,5825;711,5516;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-5-4.png;exe_login_window-5-4.png;exe_login_window;01_Jibberish-Mittel;198,2225;204,2738;193,098;595,5943;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_self_remove-1-1.png;exe_self_remove-1-1.png;exe_self_remove;01_Jibberish-Mittel;277,5774;98,7178;121,7975;498,0927;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_self_remove-2-1.png;exe_self_remove-2-1.png;exe_self_remove;01_Jibberish-Mittel;196,0542;319,2676;199,2372;714,559;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_self_remove-3-1.png;exe_self_remove-3-1.png;exe_self_remove;01_Jibberish-Mittel;218,3703;296,0441;116,9767;631,3911;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_self_remove-4-1.png;exe_self_remove-4-1.png;exe_self_remove;01_Jibberish-Mittel;200,7927;308,6929;113,4239;622,9095;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_self_remove-5-1.png;exe_self_remove-5-1.png;exe_self_remove;01_Jibberish-Mittel;216,3819;289,3685;187,5291;693,2795;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-1-1.png;exe_updater_generic-1-1.png;exe_updater_generic;01_Jibberish-Mittel;126,563;113,6913;130,2849;370,5392;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-1-2.png;exe_updater_generic-1-2.png;exe_updater_generic;01_Jibberish-Mittel;133,4328;179,3001;117,6362;430,3691;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-1-3.png;exe_updater_generic-1-3.png;exe_updater_generic;01_Jibberish-Mittel;205,748;96,8998;134,9033;437,5511;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-1-4.png;exe_updater_generic-1-4.png;exe_updater_generic;01_Jibberish-Mittel;215,3207;117,9513;97,6892;430,9612;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-2-1.png;exe_updater_generic-2-1.png;exe_updater_generic;01_Jibberish-Mittel;194,0912;921,9018;124,4284;1240,4214;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-2-2.png;exe_updater_generic-2-2.png;exe_updater_generic;01_Jibberish-Mittel;203,6428;1008,1064;109,8596;1321,6088;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-2-3.png;exe_updater_generic-2-3.png;exe_updater_generic;01_Jibberish-Mittel;194,1897;950,8849;178,1742;1323,2488;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-2-4.png;exe_updater_generic-2-4.png;exe_updater_generic;01_Jibberish-Mittel;202,4768;421,3609;183,7822;807,6199;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-3-1.png;exe_updater_generic-3-1.png;exe_updater_generic;01_Jibberish-Mittel;231,5398;390,5773;126,1388;748,2559;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-3-2.png;exe_updater_generic-3-2.png;exe_updater_generic;01_Jibberish-Mittel;205,0518;428,6419;204,4484;838,1421;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-3-3.png;exe_updater_generic-3-3.png;exe_updater_generic;01_Jibberish-Mittel;287,7844;539,5388;176,2733;1003,5965;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-3-4.png;exe_updater_generic-3-4.png;exe_updater_generic;01_Jibberish-Mittel;196,6219;516,7758;180,4387;893,8364;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-4-1.png;exe_updater_generic-4-1.png;exe_updater_generic;01_Jibberish-Mittel;198,2738;328,1973;121,7386;648,2097;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-4-2.png;exe_updater_generic-4-2.png;exe_updater_generic;01_Jibberish-Mittel;124,0636;635,4545;120,7111;880,2292;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-4-3.png;exe_updater_generic-4-3.png;exe_updater_generic;01_Jibberish-Mittel;193,0832;421,0914;203,2819;817,4565;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-4-4.png;exe_updater_generic-4-4.png;exe_updater_generic;01_Jibberish-Mittel;218,764;504,7508;183,2044;906,7192;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-5-1.png;exe_updater_generic-5-1.png;exe_updater_generic;01_Jibberish-Mittel;198,3743;414,7779;200,0254;813,1776;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-5-2.png;exe_updater_generic-5-2.png;exe_updater_generic;01_Jibberish-Mittel;217,6779;303,5835;199,562;720,8234;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-5-3.png;exe_updater_generic-5-3.png;exe_updater_generic;01_Jibberish-Mittel;132,6221;391,7358;186,8932;711,2511;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_generic-5-4.png;exe_updater_generic-5-4.png;exe_updater_generic;01_Jibberish-Mittel;130,302;494,8673;117,3838;742,5531;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_human-1-1.png;exe_updater_human-1-1.png;exe_updater_human;01_Jibberish-Mittel;194,2361;195,9977;113,4563;503,6901;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_human-1-2.png;exe_updater_human-1-2.png;exe_updater_human;01_Jibberish-Mittel;203,8156;232,5593;114,9136;551,2885;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_human-3-1.png;exe_updater_human-3-1.png;exe_updater_human;01_Jibberish-Mittel;210,4121;415,8541;191,5609;817,8271;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_human-5-1.png;exe_updater_human-5-1.png;exe_updater_human;01_Jibberish-Mittel;186,1986;131,3451;192,5664;510,1101;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_java-1-1.png;exe_updater_java-1-1.png;exe_updater_java;01_Jibberish-Mittel;132,3193;198,2107;184,6823;515,2123;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_java-1-2.png;exe_updater_java-1-2.png;exe_updater_java;01_Jibberish-Mittel;215,1682;187,1649;195,5502;597,8833;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_updater_java-1-3.png;exe_updater_java-1-3.png;exe_updater_java;01_Jibberish-Mittel;138,7304;179,9476;117,4843;436,1623;False;0;False
